1.0	var points-to (INS)	5964	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
1.5	var points-to (SENS)	5964	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
10.0	reachable variables (INS)	3259	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
10.5	reachable variables (SENS)	3259	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
2.0	array index points-to (INS)	2	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
2.5	array index points-to (SENS)	2	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
6.0	app array index points-to (INS)	1	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
6.5	app array index points-to (SENS)	1	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
3.0	instance field points-to (INS)	811	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
3.5	instance field points-to (SENS)	811	@ ((((((((!SPL \/ PrevaylerSPL) /\ (!PrevaylerSPL \/ SPL)) /\ (!Replication \/ PrevaylerSPL)) /\ (!GZip \/ PrevaylerSPL)) /\ (!Censor \/ PrevaylerSPL)) /\ (!Monitor \/ PrevaylerSPL)) /\ (!Snapshot \/ PrevaylerSPL)) /\ SPL)
